InstanceType,vCPUs,MemoryMiB,GPUs
m8gd.2xlarge,8,32768,0
m8gd.48xlarge,192,786432,0
m8gd.4xlarge,16,65536,0
m8gd.8xlarge,32,131072,0
m8gd.large,2,8192,0
m8gd.medium,1,4096,0
m8gd.metal-24xl,96,393216,0
m8gd.metal-48xl,192,786432,0
m8gd.xlarge,4,16384,0
m8i-flex.12xlarge,48,196608,0
m8i-flex.16xlarge,64,262144,0
m8i-flex.2xlarge,8,32768,0
m8i-flex.4xlarge,16,65536,0
m8i-flex.8xlarge,32,131072,0
m8i-flex.large,2,8192,0
m8i-flex.xlarge,4,16384,0
m8i.12xlarge,48,196608,0
m8i.16xlarge,64,262144,0
m8i.24xlarge,96,393216,0
m8i.2xlarge,8,32768,0
m8i.32xlarge,128,524288,0
m8i.48xlarge,192,786432,0
m8i.4xlarge,16,65536,0
m8i.8xlarge,32,131072,0
m8i.96xlarge,384,1572864,0
m8i.large,2,8192,0
m8i.metal-48xl,192,786432,0
m8i.metal-96xl,384,1572864,0
m8i.xlarge,4,16384,0
mac-m4.metal,10,24576,0
mac-m4pro.metal,14,49152,0
mac1.metal,12,32768,0
mac2-m1ultra.metal,20,131072,0
mac2-m2.metal,8,24576,0
mac2-m2pro.metal,12,32768,0
mac2.metal,8,16384,0
p3.16xlarge,64,499712,8
p3.2xlarge,8,62464,1
p3.8xlarge,32,249856,4
p3dn.24xlarge,96,786432,8
p4d.24xlarge,96,1179648,8
p4de.24xlarge,96,1179648,8
p5.48xlarge,192,2097152,8
p5.4xlarge,16,262144,1
p5e.48xlarge,192,2097152,8
p5en.48xlarge,192,2097152,8
p6-b200.48xlarge,192,2097152,8
r3.2xlarge,8,62464,0
r3.4xlarge,16,124928,0
r3.8xlarge,32,249856,0
r3.large,2,15360,0
r3.xlarge,4,31232,0
r4.16xlarge,64,499712,0
r4.2xlarge,8,62464,0
r4.4xlarge,16,124928,0
r4.8xlarge,32,249856,0
r4.large,2,15616,0
r4.xlarge,4,31232,0
r5.12xlarge,48,393216,0
r5.16xlarge,64,524288,0
r5.24xlarge,96,786432,0
r5.2xlarge,8,65536,0
r5.4xlarge,16,131072,0
r5.8xlarge,32,262144,0
r5.large,2,16384,0
r5.metal,96,786432,0
r5.xlarge,4,32768,0
r5a.12xlarge,48,393216,0
r5a.16xlarge,64,524288,0
r5a.24xlarge,96,786432,0
r5a.2xlarge,8,65536,0
r5a.4xlarge,16,131072,0
r5a.8xlarge,32,262144,0
r5a.large,2,16384,0
r5a.xlarge,4,32768,0
r5ad.12xlarge,48,393216,0
r5ad.16xlarge,64,524288,0
r5ad.24xlarge,96,786432,0
r5ad.2xlarge,8,65536,0
r5ad.4xlarge,16,131072,0
r5ad.8xlarge,32,262144,0
r5ad.large,2,16384,0
r5ad.xlarge,4,32768,0
r5b.12xlarge,48,393216,0
r5b.16xlarge,64,524288,0
r5b.24xlarge,96,786432,0
r5b.2xlarge,8,65536,0
r5b.4xlarge,16,131072,0
r5b.8xlarge,32,262144,0
r5b.large,2,16384,0
r5b.metal,96,786432,0
